game_id,event_id,home_win_prob
CLE200104270,55,0.34
CLE200104270,56,0.23
CLE200104270,57,0.25
CLE200104270,58,0.16
CLE200104270,59,0.16
CLE200104270,60,0.17
CLE200104270,61,0.14
CLE200104270,62,0.12
CLE200104270,63,0.11
CLE200104270,64,0.12
CLE200104270,65,0.13
CLE200104270,66,0.14
CLE200104270,67,0.2
CLE200104270,68,0.16
CLE200104270,69,0.23
CLE200104270,70,0.15
CLE200104270,71,0.16
CLE200104270,72,0.17
CLE200104270,73,0.16
CLE200104270,74,0.15
CLE200104270,75,0.08
CLE200104270,76,0.09
CLE200104270,77,0.07
CLE200104270,78,0.09
CLE200104270,79,0.18
CLE200104270,80,0.27
CLE200104270,81,0.18
CLE200104270,82,0.08
CLE200104270,83,0.09
CLE200104270,84,0.09
CLE200104270,85,0.1
CLE200104270,86,0.05
CLE200104270,87,0.02
NYN201908200,1,0.5
NYN201908200,2,0.52
NYN201908200,3,0.54
NYN201908200,4,0.55
NYN201908200,5,0.53
NYN201908200,6,0.51
NYN201908200,7,0.5
NYN201908200,8,0.52
NYN201908200,9,0.54
NYN201908200,10,0.43
NYN201908200,11,0.42
NYN201908200,12,0.44
NYN201908200,13,0.41
NYN201908200,14,0.44
NYN201908200,15,0.63
NYN201908200,16,0.63
NYN201908200,17,0.61
NYN201908200,18,0.64
NYN201908200,19,0.59
NYN201908200,20,0.63
NYN201908200,21,0.67
NYN201908200,22,0.65
NYN201908200,23,0.68
NYN201908200,24,0.65
NYN201908200,25,0.63
NYN201908200,26,0.58
NYN201908200,27,0.51
NYN201908200,28,0.39
NYN201908200,29,0.45
NYN201908200,30,0.5
NYN201908200,31,0.56
NYN201908200,32,0.53
NYN201908200,33,0.51
NYN201908200,34,0.5
NYN201908200,35,0.53
NYN201908200,36,0.56
NYN201908200,37,0.57
NYN201908200,38,0.53
NYN201908200,39,0.51
NYN201908200,40,0.5
NYN201908200,41,0.54
NYN201908200,42,0.55
NYN201908200,43,0.57
NYN201908200,44,0.55
NYN201908200,45,0.6
NYN201908200,46,0.55
NYN201908200,47,0.82
NYN201908200,48,0.83
NYN201908200,49,0.83
NYN201908200,50,0.86
NYN201908200,51,0.81
NYN201908200,52,0.76
NYN201908200,53,0.83
NYN201908200,54,0.89
NYN201908200,55,0.91
NYN201908200,56,0.93
NYN201908200,57,0.91
NYN201908200,58,0.96
NYN201908200,59,0.97
NYN201908200,60,1
NYN201908200,61,0.99
NYN201908200,62,0.99
NYN201908200,63,1
NYN201908200,64,1
NYN201908200,65,1
NYN201908200,66,1
NYN201908200,67,1
NYN201908200,68,1
NYN201908200,69,1
NYN201908200,70,1
NYN201908200,71,1
NYN201908200,72,1
NYN201908200,73,1
NYN201908200,74,1
BOS199008030,1,0.5
BOS199008030,2,0.47
BOS199008030,3,0.5
BOS199008030,4,0.54
BOS199008030,5,0.59
BOS199008030,6,0.63
BOS199008030,7,0.77
BOS199008030,8,0.87
BOS199008030,9,0.88
